fold,model,accuracy,f1,recall,time,training_error,testing_error
0,Net,0.91934168,0.918880007,0.91934168,90.23950195,7.159549857,8.065832
1,Net,0.918368948,0.917858757,0.918368948,87.02726603,7.136415324,8.163105212
2,Net,0.918274813,0.917632634,0.918274813,86.60287905,7.160726189,8.172518749
3,Net,0.919404437,0.919053439,0.919404437,87.12477803,7.163863075,8.059556309
4,Net,0.917176567,0.917102137,0.917176567,86.912781,7.040740305,8.282343343
0,Logistic Regression,0.915513508,0.915109165,0.915513508,224.038475,7.916715681,8.448649157
1,Logistic Regression,0.914650601,0.914077738,0.914650601,238.57602,7.88966004,8.53493991
2,Logistic Regression,0.91527817,0.914722894,0.91527817,238.201144,7.891620594,8.472182999
3,Logistic Regression,0.917490351,0.917044865,0.917490351,233.8412969,7.937105439,8.250964888
4,Logistic Regression,0.914791804,0.914374082,0.914791804,228.2857831,7.870446614,8.520819605
0,Proto_Net+pl,0.918949449,0.918676568,0.918949449,399.5712919,6.859193036,8.105055069
0,Proto_Net,0.918698422,0.918313847,0.918698422,358.7028627,6.934086186,8.130157834
1,Proto_Net+pl,0.918588597,0.918261719,0.918588597,342.3594129,6.835274281,8.141140293
1,Proto_Net,0.917882582,0.917567577,0.917882582,310.3771291,6.89330667,8.211741818
2,Proto_Net+pl,0.918274813,0.917839116,0.918274813,338.65516,6.711759401,8.172518749
2,Proto_Net,0.918274813,0.918010717,0.918274813,309.7586,6.803905423,8.172518749
3,Proto_Net+pl,0.919702532,0.919431685,0.919702532,1565.375433,6.849390268,8.029746776
3,Proto_Net,0.918416016,0.91824361,0.918416016,310.1259091,6.897619888,8.158398444
4,Proto_Net+pl,0.914823182,0.914441771,0.914823182,334.3618779,6.746657256,8.51768176
4,Proto_Net,0.918055163,0.917781756,0.918055163,309.7520771,6.791357879,8.194483668
0,Proto_Net+disto_pl,0.919357369,0.919016647,0.919357369,412.051156,6.999960789,8.064263077
0,Proto_Net+disto,0.917647243,0.917409514,0.917647243,371.6714222,6.898011999,8.23527566
1,Proto_Net+disto_pl,0.917678622,0.917439217,0.917678622,346.432071,6.821942517,8.232137814
1,Proto_Net+disto,0.917584486,0.917214434,0.917584486,324.490412,6.892130338,8.241551351
2,Proto_Net+disto_pl,0.917239323,0.916984663,0.917239323,347.8085887,6.868211583,8.276067652
2,Proto_Net+disto,0.917568797,0.917367519,0.917568797,322.0523829,7.012900443,8.243120274
3,Proto_Net+disto_pl,0.919451505,0.919055769,0.919451505,1576.496848,6.927420303,8.05484954
3,Proto_Net+disto,0.919184788,0.918707931,0.919184788,322.030684,6.938399404,8.081521228
4,Proto_Net+disto_pl,0.91731777,0.916674824,0.91731777,345.2275319,6.90938321,8.268223038
4,Proto_Net+disto,0.918541529,0.918341734,0.918541529,318.633857,6.976042034,8.145847061
0,KNN,0.89089711,0.889779859,0.89089711,0.175064087,7.657922597,10.910289
1,KNN,0.892152248,0.891137578,0.892152248,0.186710119,7.725757754,10.78477517
2,KNN,0.891775707,0.890731813,0.891775707,0.165559053,7.703015332,10.82242932
3,KNN,0.892450344,0.891404934,0.892450344,0.171504974,7.713210211,10.75496564
4,KNN,0.890755907,0.889717833,0.890755907,0.157230139,7.687330902,10.9244093
