fold,model,accuracy,f1,recall,time,training_error,testing_error
0,Logistic Regression,0.7659192655698067,0.7614978860422139,0.7659192655698067,254.8777008056641,22.87201657549828,23.40807344301933
1,Logistic Regression,0.762311339466178,0.7575869033576227,0.762311339466178,280.91195487976074,22.748833060378804,23.7688660533822
2,Logistic Regression,0.7668070798466159,0.7620922413561187,0.7668070798466159,286.7518301010132,22.87060067302564,23.31929201533841
3,Logistic Regression,0.7656359205878464,0.7608264568878683,0.7656359205878464,281.6351609230041,22.8078289967387,23.436407941215364
4,Logistic Regression,0.7627646914373146,0.7579830074603809,0.7627646914373146,289.2792329788208,22.7464732229244,23.72353085626854
0,KNN,0.822059351328888,0.8181372984629859,0.822059351328888,0.2149238586425781,12.400945822851718,17.794064867111203
1,KNN,0.8192825705056763,0.8150351622143321,0.8192825705056763,0.1830101013183593,12.388202700597985,18.07174294943237
2,KNN,0.8249683598103478,0.8209365541917502,0.8249683598103478,0.1550629138946533,12.441063059576452,17.503164018965222
3,KNN,0.8238538695479704,0.8201423171563136,0.8238538695479704,0.1520299911499023,12.46607733659305,17.614613045202965
4,KNN,0.8199059294659892,0.815601751194607,0.8199059294659892,0.1555442810058593,12.403777627796996,18.009407053401084
0,Proto_Net+disto_pl,0.8257428360943728,0.822227259289395,0.8257428360943728,791.928111076355,15.73445221093171,17.425716390562723
0,Proto_Net+disto,0.8278206992954155,0.8244787397887969,0.8278206992954155,680.5192461013794,15.555104564397604,17.21793007045845
1,Proto_Net+disto_pl,0.827480685317063,0.8250154254450842,0.827480685317063,4458.592353105545,15.80194356212744,17.251931468293698
1,Proto_Net+disto,0.8291051965469691,0.825818794279438,0.8291051965469691,5750.932160139084,15.344607063465467,17.089480345303084
2,Proto_Net+disto_pl,0.8323919983377095,0.8290807906314357,0.8323919983377095,4741.387957811356,15.402187097352735,16.760800166229057
2,Proto_Net+disto,0.832033094693893,0.8284512534649179,0.832033094693893,4267.441064357758,15.498940432982977,16.796690530610704
3,Proto_Net+disto_pl,0.8312397287444039,0.8277890310182929,0.8312397287444039,3947.767843723297,15.543777344616505,16.876027125559606
3,Proto_Net+disto,0.8293885415289295,0.8265099271524372,0.8293885415289295,3312.2241611480717,15.589086223740908,17.06114584710705
4,Proto_Net+disto_pl,0.8272917886624228,0.8237010912254548,0.8272917886624228,3443.534204006195,15.625899688029488,17.27082113375772
4,Proto_Net+disto,0.8284251685902643,0.8244995473718573,0.8284251685902643,3366.260864019394,15.673096437117412,17.15748314097357
0,Proto_Net+pl,0.8291996448742893,0.8266239381039379,0.8291996448742893,739.7340490818024,15.306849664195129,17.080035512571072
0,Proto_Net,0.8265173123783978,0.8232414267323993,0.8265173123783978,656.1693649291992,15.696222844170492,17.34826876216022
0,Net,0.827480685317063,0.8247548058325476,0.827480685317063,223.67621302604675,15.94211790691857,17.251931468293698
1,Proto_Net+pl,0.8300496798201704,0.8270832934016654,0.8300496798201704,4415.81892490387,15.254461272707537,16.99503201798296
1,Proto_Net,0.8286329549103686,0.826741016904389,0.8286329549103686,5708.903686761856,15.346494933428986,17.136704508963145
1,Net,0.8254783807778764,0.8220799216169613,0.8254783807778764,1522.2376770973206,16.001113843278475,17.45216192221236
2,Proto_Net+pl,0.8319386463665729,0.8278149502263481,0.8319386463665729,4401.148419141769,15.304017859249855,16.806135363342715
2,Proto_Net,0.8328831296397741,0.8301609100926967,0.8328831296397741,4118.91136264801,15.35640625073745,16.711687036022592
2,Net,0.8293696518634655,0.8266577021066741,0.8293696518634655,814.9276127815247,15.836397188961623,17.06303481365345
3,Proto_Net+pl,0.8313908460681161,0.8294988429208733,0.8313908460681161,3892.532509326935,15.453631553858571,16.860915393188385
3,Proto_Net,0.8324297776686375,0.8293361840220612,0.8324297776686375,3077.994246006012,15.276171777287981,16.75702223313625
3,Net,0.8300307901547064,0.8272505978183621,0.8300307901547064,1106.0333950519562,16.119105715998284,16.996920984529364
4,Proto_Net+pl,0.8294263208598576,0.8273384518369131,0.8294263208598576,3134.5185310840607,15.354046413283054,17.057367914014243
4,Proto_Net,0.8315230737263644,0.82931885141972,0.8315230737263644,2792.381691932678,15.276643744778859,16.84769262736357
4,Net,0.8294829898562497,0.8278982361627155,0.8294829898562497,1399.2283036708832,15.737755983367865,17.051701014375034
